Fighter1,Fighter2,Winner?,Fight Method,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed F1R1,Total Strike Missed F1R1,Non-Sig. Strike Landed F1R1,Non-Sig. Strike Missed F1R1,Sig. Strike Landed F1R1,Sig. Strike Missed F1R1,Head F1R1,Body F1R1,Leg F1R1,Distance F1R1,Clinch F1R1,Ground F1R1,Knockdowns F1R1,TD Completed F1R1,TD Missed F1R1,Sub. Att F1R1,Rev. F1R1,Ctrl Time (Minutes) F1R1,Winner?,Total Strike Landed F2R1,Total Strike Missed F2R1,Non-Sig. Strike Landed F2R1,Non-Sig. Strike Missed F2R1,Sig. Strike Landed F2R1,Sig. Strike Missed F2R1,Head F2R1,Body F2R1,Leg F2R1,Distance F2R1,Clinch F2R1,Ground F2R1,Knockdowns F2R1,TD Completed F2R1,TD Missed F2R1,Sub. Att F2R1,Rev. F2R1,Ctrl Time (Minutes) F2R1,Total Strike Landed F1R2,Total Strike Missed F1R2,Non-Sig. Strike Landed F1R2,Non-Sig. Strike Missed F1R2,Sig. Strike Landed F1R2,Sig. Strike Missed F1R2,Head F1R2,Body F1R2,Leg F1R2,Distance F1R2,Clinch F1R2,Ground F1R2,Knockdowns F1R2,TD Completed F1R2,TD Missed F1R2,Sub. Att F1R2,Rev. F1R2,Ctrl Time (Minutes) F1R2,Total Strike Landed F2R2,Total Strike Missed F2R2,Non-Sig. Strike Landed F2R2,Non-Sig. Strike Missed F2R2,Sig. Strike Landed F2R2,Sig. Strike Missed F2R2,Head F2R2,Body F2R2,Leg F2R2,Distance F2R2,Clinch F2R2,Ground F2R2,Knockdowns F2R2,TD Completed F2R2,TD Missed F2R2,Sub. Att F2R2,Rev. F2R2,Ctrl Time (Minutes) F2R2,Total Strike Landed F1R3,Total Strike Missed F1R3,Non-Sig. Strike Landed F1R3,Non-Sig. Strike Missed F1R3,Sig. Strike Landed F1R3,Sig. Strike Missed F1R3,Head F1R3,Body F1R3,Leg F1R3,Distance F1R3,Clinch F1R3,Ground F1R3,Knockdowns F1R3,TD Completed F1R3,TD Missed F1R3,Sub. Att F1R3,Rev. F1R3,Ctrl Time (Minutes) F1R3,Total Strike Landed F2R3,Total Strike Missed F2R3,Non-Sig. Strike Landed F2R3,Non-Sig. Strike Missed F2R3,Sig. Strike Landed F2R3,Sig. Strike Missed F2R3,Head F2R3,Body F2R3,Leg F2R3,Distance F2R3,Clinch F2R3,Ground F2R3,Knockdowns F2R3,TD Completed F2R3,TD Missed F2R3,Sub. Att F2R3,Rev. F2R3,Ctrl Time (Minutes) F2R3,Total Strike Landed F1R4,Total Strike Missed F1R4,Non-Sig. Strike Landed F1R4,Non-Sig. Strike Missed F1R4,Sig. Strike Landed F1R4,Sig. Strike Missed F1R4,Head F1R4,Body F1R4,Leg F1R4,Distance F1R4,Clinch F1R4,Ground F1R4,Knockdowns F1R4,TD Completed F1R4,TD Missed F1R4,Sub. Att F1R4,Rev. F1R4,Ctrl Time (Minutes) F1R4,Total Strike Landed F2R4,Total Strike Missed F2R4,Non-Sig. Strike Landed F2R4,Non-Sig. Strike Missed F2R4,Sig. Strike Landed F2R4,Sig. Strike Missed F2R4,Head F2R4,Body F2R4,Leg F2R4,Distance F2R4,Clinch F2R4,Ground F2R4,Knockdowns F2R4,TD Completed F2R4,TD Missed F2R4,Sub. Att F2R4,Rev. F2R4,Ctrl Time (Minutes) F2R4,Total Strike Landed F1R5,Total Strike Missed F1R5,Non-Sig. Strike Landed F1R5,Non-Sig. Strike Missed F1R5,Sig. Strike Landed F1R5,Sig. Strike Missed F1R5,Head F1R5,Body F1R5,Leg F1R5,Distance F1R5,Clinch F1R5,Ground F1R5,Knockdowns F1R5,TD Completed F1R5,TD Missed F1R5,Sub. Att F1R5,Rev. F1R5,Ctrl Time (Minutes) F1R5,Total Strike Landed F2R5,Total Strike Missed F2R5,Non-Sig. Strike Landed F2R5,Non-Sig. Strike Missed F2R5,Sig. Strike Landed F2R5,Sig. Strike Missed F2R5,Head F2R5,Body F2R5,Leg F2R5,Distance F2R5,Clinch F2R5,Ground F2R5,Knockdowns F2R5,TD Completed F2R5,TD Missed F2R5,Sub. Att F2R5,Rev. F2R5,Ctrl Time (Minutes) F2R5
Serhiy Sidey,Garrett Armfield,1,Decision - Split,5:00,3 Rnd (5-5-5),Andy Social,Derek Cleary 28 - 29. Mike Bell 29 - 28. Junichiro Kamijo 28 - 29.,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,23,21,3,0,20,21,8,8,4,17,3,0,0,0,2,1,0,0.583333333,1,24,16,0,0,24,16,20,3,1,22,2,0,0,1,1,0,0,0.95,40,47,1,0,39,47,28,9,2,37,2,0,0,0,2,0,0,0,44,49,1,0,43,49,34,6,3,42,1,0,0,0,0,0,0,0.033333333,12,8,3,0,9,8,4,5,0,6,2,1,0,0,0,2,1,0.2,9,6,5,0,4,6,3,0,1,1,1,2,0,3,0,1,0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Anheliger,Cody Gibson,0,Decision - Unanimous,5:00,3 Rnd (5-5-5),Jerin Valel,Derek Cleary 26 - 30. Junichiro Kamijo 27 - 30. Ziad Harb 27 - 30.,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,13,6,8,2,5,4,3,0,2,5,0,0,0,0,0,0,0,0,0,23,12,19,0,4,12,3,0,1,4,0,0,0,2,0,1,0,3.616666667,9,5,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,13,18,11,9,2,9,0,0,0,0,9,0,1,1,1,0,4.65,37,7,31,4,6,3,5,0,1,6,0,0,0,0,0,0,0,0,9,9,6,5,3,4,3,0,0,2,0,1,0,2,0,0,0,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamey-Lyn Horth,Ivana Petrovic,1,Decision - Split,5:00,3 Rnd (5-5-5),Blake Grice,Eric Colon 27 - 30. Thomas Collins 29 - 28. Mike Bell 28 - 29.,Women's Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,10,6,7,1,3,5,1,2,0,2,1,0,0,1,0,0,0,1.033333333,1,20,13,19,5,1,8,1,0,0,1,0,0,0,1,0,0,1,3.383333333,21,10,11,1,10,9,5,4,1,9,1,0,0,0,0,0,0,0.366666667,14,17,5,1,9,16,5,2,2,9,0,0,0,1,2,0,0,2.716666667,19,28,3,1,16,27,11,5,0,10,6,0,0,1,2,0,0,1.1,33,31,18,5,15,26,11,4,0,15,0,0,0,0,2,0,1,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilia Topuria,Max Holloway,1,KO/TKO,1:34,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance,UFC Featherweight Title Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,24,25,2,0,22,25,13,3,6,22,0,0,0,2,0,0,0,0.683333333,1,35,45,5,0,30,45,17,7,6,30,0,0,0,0,0,0,0,0,32,30,0,0,32,30,20,5,7,32,0,0,0,0,0,0,0,0,35,67,0,0,35,67,23,3,9,35,0,0,0,0,0,0,0,0,22,14,1,0,21,14,16,3,2,17,0,4,1,0,0,0,0,0.066666667,14,13,0,0,14,13,7,3,4,14,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Whittaker,Khamzat Chimaev,0,Submission,3:34,5 Rnd (5-5-5-5-5),Jason Herzog,Rear Naked Choke,Middleweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,1,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,25,6,22,5,3,1,2,1,0,0,0,3,0,2,2,1,0,3.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magomed Ankalaev,Aleksandar Rakic,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),Vitor Ribeiro,Sal D'amato 28 - 29. Jacob Montalvo 28 - 29. Tony Weeks 28 - 29.,Light Heavyweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,19,15,0,0,19,15,7,8,4,19,0,0,0,0,0,0,0,0,1,22,23,0,0,22,23,4,3,15,22,0,0,0,0,0,0,0,0,24,28,1,1,23,27,8,7,8,23,0,0,0,0,0,0,0,0.216666667,20,24,1,0,19,24,3,3,13,18,1,0,0,0,0,0,0,0.1,32,24,19,7,13,17,5,7,1,8,5,0,0,0,0,0,0,1.3,17,17,5,0,12,17,3,3,6,10,2,0,0,0,1,0,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lerone Murphy,Dan Ige,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Ben Cartlidge 28 - 29. Hadi Mohamed Ali 28 - 29.,Featherweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,18,15,1,0,17,15,11,4,2,14,3,0,0,1,0,0,0,0.366666667,1,32,29,0,1,32,28,27,2,3,19,5,8,1,1,0,0,1,1.5,36,25,17,2,19,23,12,6,1,16,3,0,0,1,0,0,0,0.95,12,19,1,1,11,18,5,3,3,10,1,0,0,0,1,0,1,0.716666667,24,15,8,5,16,10,13,2,1,7,6,3,0,1,2,0,0,0.966666667,8,16,5,2,3,14,3,0,0,3,0,0,0,0,1,0,0,2.566666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shara Magomedov,Armen Petrosyan,1,KO/TKO,4:52,3 Rnd (5-5-5),Kerry Hatley,Spinning Back Fist Head,Middleweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,2,35,16,2,0,33,16,12,13,8,31,2,0,0,0,0,0,0,0,1,46,35,0,0,46,35,14,5,27,44,2,0,0,0,0,0,0,0.133333333,32,25,0,0,32,25,12,16,4,32,0,0,1,0,0,0,0,0.033333333,31,29,0,1,31,28,8,5,18,31,0,0,0,0,0,0,0,0.216666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibo Aslan,Rafael Cerqueira,1,KO/TKO,0:51,3 Rnd (5-5-5),Marc Goddard,Punches to Head At Distance,Light Heavyweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,1,28,8,0,0,28,8,26,2,0,28,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoff Neal,Rafael Dos Anjos,1,KO/TKO,1:30,3 Rnd (5-5-5),Mark Smith,to   At Distance Dos Anjos leg injury,Welterweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,1,21,13,3,1,18,12,12,3,3,13,0,5,1,1,0,0,0,0.45,1,4,9,0,0,4,9,2,1,1,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
