Fighter1,Fighter2,Winner?,Fight Method,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed F1R1,Total Strike Missed F1R1,Non-Sig. Strike Landed F1R1,Non-Sig. Strike Missed F1R1,Sig. Strike Landed F1R1,Sig. Strike Missed F1R1,Head F1R1,Body F1R1,Leg F1R1,Distance F1R1,Clinch F1R1,Ground F1R1,Knockdowns F1R1,TD Completed F1R1,TD Missed F1R1,Sub. Att F1R1,Rev. F1R1,Ctrl Time (Minutes) F1R1,Winner?,Total Strike Landed F2R1,Total Strike Missed F2R1,Non-Sig. Strike Landed F2R1,Non-Sig. Strike Missed F2R1,Sig. Strike Landed F2R1,Sig. Strike Missed F2R1,Head F2R1,Body F2R1,Leg F2R1,Distance F2R1,Clinch F2R1,Ground F2R1,Knockdowns F2R1,TD Completed F2R1,TD Missed F2R1,Sub. Att F2R1,Rev. F2R1,Ctrl Time (Minutes) F2R1,Total Strike Landed F1R2,Total Strike Missed F1R2,Non-Sig. Strike Landed F1R2,Non-Sig. Strike Missed F1R2,Sig. Strike Landed F1R2,Sig. Strike Missed F1R2,Head F1R2,Body F1R2,Leg F1R2,Distance F1R2,Clinch F1R2,Ground F1R2,Knockdowns F1R2,TD Completed F1R2,TD Missed F1R2,Sub. Att F1R2,Rev. F1R2,Ctrl Time (Minutes) F1R2,Total Strike Landed F2R2,Total Strike Missed F2R2,Non-Sig. Strike Landed F2R2,Non-Sig. Strike Missed F2R2,Sig. Strike Landed F2R2,Sig. Strike Missed F2R2,Head F2R2,Body F2R2,Leg F2R2,Distance F2R2,Clinch F2R2,Ground F2R2,Knockdowns F2R2,TD Completed F2R2,TD Missed F2R2,Sub. Att F2R2,Rev. F2R2,Ctrl Time (Minutes) F2R2,Total Strike Landed F1R3,Total Strike Missed F1R3,Non-Sig. Strike Landed F1R3,Non-Sig. Strike Missed F1R3,Sig. Strike Landed F1R3,Sig. Strike Missed F1R3,Head F1R3,Body F1R3,Leg F1R3,Distance F1R3,Clinch F1R3,Ground F1R3,Knockdowns F1R3,TD Completed F1R3,TD Missed F1R3,Sub. Att F1R3,Rev. F1R3,Ctrl Time (Minutes) F1R3,Total Strike Landed F2R3,Total Strike Missed F2R3,Non-Sig. Strike Landed F2R3,Non-Sig. Strike Missed F2R3,Sig. Strike Landed F2R3,Sig. Strike Missed F2R3,Head F2R3,Body F2R3,Leg F2R3,Distance F2R3,Clinch F2R3,Ground F2R3,Knockdowns F2R3,TD Completed F2R3,TD Missed F2R3,Sub. Att F2R3,Rev. F2R3,Ctrl Time (Minutes) F2R3,Total Strike Landed F1R4,Total Strike Missed F1R4,Non-Sig. Strike Landed F1R4,Non-Sig. Strike Missed F1R4,Sig. Strike Landed F1R4,Sig. Strike Missed F1R4,Head F1R4,Body F1R4,Leg F1R4,Distance F1R4,Clinch F1R4,Ground F1R4,Knockdowns F1R4,TD Completed F1R4,TD Missed F1R4,Sub. Att F1R4,Rev. F1R4,Ctrl Time (Minutes) F1R4,Total Strike Landed F2R4,Total Strike Missed F2R4,Non-Sig. Strike Landed F2R4,Non-Sig. Strike Missed F2R4,Sig. Strike Landed F2R4,Sig. Strike Missed F2R4,Head F2R4,Body F2R4,Leg F2R4,Distance F2R4,Clinch F2R4,Ground F2R4,Knockdowns F2R4,TD Completed F2R4,TD Missed F2R4,Sub. Att F2R4,Rev. F2R4,Ctrl Time (Minutes) F2R4,Total Strike Landed F1R5,Total Strike Missed F1R5,Non-Sig. Strike Landed F1R5,Non-Sig. Strike Missed F1R5,Sig. Strike Landed F1R5,Sig. Strike Missed F1R5,Head F1R5,Body F1R5,Leg F1R5,Distance F1R5,Clinch F1R5,Ground F1R5,Knockdowns F1R5,TD Completed F1R5,TD Missed F1R5,Sub. Att F1R5,Rev. F1R5,Ctrl Time (Minutes) F1R5,Total Strike Landed F2R5,Total Strike Missed F2R5,Non-Sig. Strike Landed F2R5,Non-Sig. Strike Missed F2R5,Sig. Strike Landed F2R5,Sig. Strike Missed F2R5,Head F2R5,Body F2R5,Leg F2R5,Distance F2R5,Clinch F2R5,Ground F2R5,Knockdowns F2R5,TD Completed F2R5,TD Missed F2R5,Sub. Att F2R5,Rev. F2R5,Ctrl Time (Minutes) F2R5
Andre Petroski,Wellington Turman,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),Keith Peterson,Doug Crosby 27 - 30. Dave Tirelli 27 - 30. Bryan Miner 28 - 29.,Middleweight Bout,UFC 281: Adesanya vs. Pereira,"New York City, New York, USA",11/12/22,3,26,38,1,0,25,38,17,7,1,24,1,0,0,2,2,0,0,1.066666667,1,36,34,3,0,33,34,20,7,6,30,0,3,0,0,0,0,0,0.016666667,16,13,4,3,12,10,10,2,0,8,2,2,0,2,1,1,0,2.383333333,24,9,17,1,7,8,1,5,1,7,0,0,0,1,2,1,0,1.533333333,16,10,11,4,5,6,5,0,0,0,0,5,0,4,0,1,0,4.533333333,11,4,10,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0.116666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Frevola,Ottman Azaitar,1,KO/TKO,2:30,3 Rnd (5-5-5),Dan Miragliotta,Punch to Head At Distance,Lightweight Bout,UFC 281: Adesanya vs. Pereira,"New York City, New York, USA",11/12/22,1,12,16,1,0,11,16,10,1,0,7,2,2,1,0,0,0,0,0.033333333,1,11,12,1,0,10,12,6,4,0,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karolina Kowalkiewicz,Silvana Gomez Juarez,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),Marc Goddard,Mike Bell 28 - 29. Sal D'amato 28 - 29. Dave Tirelli 28 - 29.,Women's Strawweight Bout,UFC 281: Adesanya vs. Pereira,"New York City, New York, USA",11/12/22,3,20,21,15,11,5,10,4,1,0,5,0,0,0,2,0,0,0,3.75,1,7,25,1,0,6,25,3,2,1,6,0,0,0,0,0,0,0,0,31,55,0,0,31,55,21,8,2,30,1,0,0,0,0,0,0,0.05,27,78,0,0,27,78,18,7,2,27,0,0,0,0,0,0,0,0,39,64,1,1,38,63,30,4,4,36,2,0,0,0,0,0,0,0.25,45,85,1,2,44,83,25,15,4,42,2,0,0,0,0,0,0,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Trizano,SeungWoo Choi,1,KO/TKO,4:51,3 Rnd (5-5-5),Kevin MacDonald,Punch to Head At Distance,Featherweight Bout,UFC 281: Adesanya vs. Pereira,"New York City, New York, USA",11/12/22,1,34,21,2,0,32,21,28,2,2,21,1,10,2,0,0,0,0,0.233333333,1,26,48,0,1,26,47,19,3,4,25,1,0,1,0,1,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio Arce,Montel Jackson,0,Decision - Unanimous,5:00,3 Rnd (5-5-5),Marc Goddard,Bryan Miner 27 - 30. Sal D'amato 27 - 30. Doug Crosby 28 - 29.,Bantamweight Bout,UFC 281: Adesanya vs. Pereira,"New York City, New York, USA",11/12/22,3,9,18,5,0,4,18,2,1,1,4,0,0,0,1,1,0,0,0.1,0,15,14,10,2,5,12,3,1,1,4,1,0,0,0,1,0,0,2.15,25,47,10,4,15,43,7,5,3,15,0,0,0,0,0,0,0,0,24,30,5,3,19,27,13,3,3,18,1,0,0,0,2,0,0,1.2,10,47,3,8,7,39,4,2,1,6,1,0,0,0,0,0,0,0,25,19,1,0,24,19,23,1,0,11,2,11,1,0,0,0,0,2.566666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Ulberg,Nicolae Negumereanu,1,KO/TKO,3:44,3 Rnd (5-5-5),Kevin MacDonald,Punch to Head At Distance,Light Heavyweight Bout,UFC 281: Adesanya vs. Pereira,"New York City, New York, USA",11/12/22,1,14,9,0,0,14,9,8,2,4,12,0,2,1,0,0,0,0,0.083333333,1,2,12,0,0,2,12,0,1,1,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marina Rodriguez,Amanda Lemos,0,KO/TKO,0:54,5 Rnd (5-5-5-5-5),Jason Herzog,Punches to Head At Distance,Women's Strawweight Bout,UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",11/5/22,3,12,21,3,1,9,20,1,1,7,8,0,1,0,0,0,0,0,0.25,0,11,7,0,0,11,7,4,4,3,10,1,0,0,0,1,0,0,0,26,11,22,0,4,11,1,1,2,4,0,0,0,0,0,0,0,0,22,8,14,0,8,8,4,4,0,5,2,1,0,1,0,1,0,3.1,6,2,0,0,6,2,4,1,1,6,0,0,0,0,0,0,0,0,10,9,0,0,10,9,8,2,0,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil Magny,Daniel Rodriguez,1,Submission,3:33,3 Rnd (5-5-5),Herb Dean,D'Arce Choke On Ground,Welterweight Bout,UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",11/5/22,3,38,21,16,4,22,17,14,6,2,16,5,1,0,2,1,0,0,1.616666667,1,21,16,1,0,20,16,5,6,9,20,0,0,0,0,1,0,0,0.25,33,26,6,1,27,25,18,8,1,22,5,0,0,0,0,0,0,0.45,37,18,2,0,35,18,25,6,4,32,3,0,0,0,0,0,0,0.366666667,35,16,27,6,8,10,6,2,0,8,0,0,0,3,1,1,0,2.066666667,13,8,2,0,11,8,6,3,2,11,0,0,0,0,0,0,0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrick Minner,Shayilan Nuerdanbieke,0,KO/TKO,1:07,3 Rnd (5-5-5),Mark Smith,Elbows to Head From Half Guard,Featherweight Bout,UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",11/5/22,1,5,0,0,0,5,0,0,2,3,5,0,0,0,0,0,0,0,0,0,32,18,13,1,19,17,19,0,0,4,0,15,1,0,0,0,0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tagir Ulanbekov,Nate Maness,1,Submission,2:11,3 Rnd (5-5-5),Chris Tognoni,Guillotine Choke Standing,Flyweight Bout,UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",11/5/22,1,9,5,5,0,4,5,4,0,0,2,0,2,0,1,1,1,0,1.566666667,1,23,7,19,1,4,6,2,1,1,3,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Dawson,Mark Madsen,1,Submission,2:05,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,Lightweight Bout,UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",11/5/22,3,27,4,26,4,1,0,0,0,1,1,0,0,0,1,1,0,0,4.366666667,1,18,10,13,5,5,5,5,0,0,2,0,3,0,0,0,0,0,0.4,13,8,7,2,6,6,4,1,1,2,0,4,0,1,3,0,0,4.366666667,26,3,22,0,4,3,2,1,1,3,0,1,0,0,0,0,0,0,33,11,7,1,26,10,13,4,9,22,1,3,1,0,0,2,0,0.783333333,6,7,0,0,6,7,4,2,0,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miranda Maverick,Shanna Young,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 26 - 30. Eric Colon 26 - 30. Junichiro Kamijo 26 - 30.,Women's Flyweight Bout,UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",11/5/22,3,41,33,19,3,22,30,13,3,6,20,0,2,0,1,0,0,0,1.45,1,18,30,0,0,18,30,13,2,3,18,0,0,0,0,0,0,0,0,52,15,30,7,22,8,13,9,0,8,3,11,0,2,2,0,0,3.65,6,13,0,0,6,13,4,1,1,6,0,0,0,0,0,0,0,0,79,20,60,13,19,7,17,2,0,10,0,9,0,2,1,1,0,4.133333333,5,10,0,0,5,10,3,2,0,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Bautista,Benito Lopez,1,Submission,4:54,3 Rnd (5-5-5),Chris Tognoni,Triangle Armbar From Back Control,Bantamweight Bout,UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",11/5/22,1,49,23,5,0,44,23,20,12,12,32,0,12,0,1,0,3,0,2.6,1,17,8,0,0,17,8,6,2,9,13,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyana Viana,Jinh Yu Frey,1,KO/TKO,0:47,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Women's Strawweight Bout,UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",11/5/22,1,11,7,0,0,11,7,10,1,0,9,0,2,1,0,0,0,0,0,1,6,8,0,0,6,8,0,3,3,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liudvik Sholinian,Johnny Munoz,0,Decision - Unanimous,5:00,3 Rnd (5-5-5),Mark Smith,Junichiro Kamijo 27 - 30. Chris Lee 27 - 30. Sal D'amato 28 - 29.,Bantamweight Bout,UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",11/5/22,3,21,33,0,0,21,33,14,5,2,21,0,0,0,0,1,0,0,0,0,38,56,0,0,38,56,23,11,4,38,0,0,0,0,0,0,0,0,15,20,6,0,9,20,7,2,0,8,1,0,0,0,1,0,0,1.5,39,35,20,3,19,32,14,5,0,15,3,1,0,0,1,0,0,1.316666667,34,43,8,0,26,43,21,5,0,17,6,3,0,0,0,0,0,0,37,65,16,4,21,61,18,0,3,19,0,2,0,2,1,0,0,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Candelario,Jake Hadley,0,Submission,2:39,3 Rnd (5-5-5),Jason Herzog,Triangle Choke From Bottom Guard,Flyweight Bout,UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",11/5/22,2,58,65,0,0,58,65,26,17,15,57,1,0,0,0,0,0,0,0,0,50,66,0,0,50,66,15,19,16,50,0,0,0,0,0,0,0,0,11,14,0,0,11,14,5,5,1,10,1,0,0,1,0,0,0,1.65,57,15,17,2,40,13,30,5,5,15,2,23,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamires Vidal,Ramona Pascual,1,KO/TKO,3:06,3 Rnd (5-5-5),Chris Tognoni,Flying Knee Body,Women's Bantamweight Bout,UFC Fight Night: Rodriguez vs. Lemos,"Las Vegas, Nevada, USA",11/5/22,1,22,12,5,0,17,12,6,7,4,13,4,0,1,0,1,0,0,0.933333333,1,17,1,4,0,13,1,3,5,5,10,3,0,0,0,0,0,0,0.383333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Kattar,Arnold Allen,0,KO/TKO,0:08,5 Rnd (5-5-5-5-5),Herb Dean,to   At Distance Knee injury,Featherweight Bout,UFC Fight Night: Kattar vs. Allen,"Las Vegas, Nevada, USA",10/29/22,2,14,43,0,0,14,43,5,6,3,14,0,0,0,0,0,0,0,0,0,27,38,0,0,27,38,21,2,4,26,0,1,0,0,0,0,0,0.383333333,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Means,Max Griffin,0,Decision - Split,5:00,3 Rnd (5-5-5),Dan Miragliotta,Ben Cartlidge 28 - 29. Eric Colon 29 - 28. Derek Cleary 27 - 30.,Welterweight Bout,UFC Fight Night: Kattar vs. Allen,"Las Vegas, Nevada, USA",10/29/22,3,21,32,4,0,17,32,8,3,6,13,4,0,0,0,0,0,0,0.433333333,0,26,17,1,0,25,17,16,7,2,20,1,4,1,0,2,0,0,0.9,48,35,28,2,20,33,7,8,5,20,0,0,0,0,0,0,0,0,14,17,1,1,13,16,5,2,6,13,0,0,0,1,1,0,0,0.583333333,74,5,64,2,10,3,3,7,0,4,3,3,0,3,2,0,0,1.016666667,16,6,12,3,4,3,4,0,0,2,0,2,0,2,0,0,0,3.733333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waldo Cortes-Acosta,Jared Vanderaa,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),Mark Smith,Ron McCarthy 27 - 30. Junichiro Kamijo 28 - 29. Tony Weeks 28 - 29.,Heavyweight Bout,UFC Fight Night: Kattar vs. Allen,"Las Vegas, Nevada, USA",10/29/22,3,22,17,0,0,22,17,12,9,1,22,0,0,0,0,0,0,0,0,1,13,23,0,0,13,23,1,0,12,13,0,0,0,0,0,0,0,0,25,28,0,0,25,28,9,12,4,25,0,0,0,0,0,0,0,0.05,24,32,3,2,21,30,4,4,13,17,4,0,0,0,1,0,0,0.216666667,26,40,0,0,26,40,20,5,1,26,0,0,0,0,0,0,0,0,22,29,0,0,22,29,7,1,14,22,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Fremd,Tresean Gore,0,Submission,0:49,3 Rnd (5-5-5),Chris Tognoni,Guillotine Choke On Ground,Middleweight Bout,UFC Fight Night: Kattar vs. Allen,"Las Vegas, Nevada, USA",10/29/22,2,21,22,3,0,18,22,4,10,4,14,4,0,0,0,0,0,0,0.5,0,12,7,4,1,8,6,6,1,1,7,1,0,0,2,1,0,0,2.6,6,8,0,0,6,8,4,1,1,6,0,0,0,0,1,0,0,0.15,2,4,0,0,2,4,1,0,1,2,0,0,0,1,0,1,0,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Jacoby,Khalil Rountree Jr.,0,Decision - Split,5:00,3 Rnd (5-5-5),Herb Dean,Ben Cartlidge 28 - 29. Ron McCarthy 29 - 28. Chris Flores 28 - 29.,Light Heavyweight Bout,UFC Fight Night: Kattar vs. Allen,"Las Vegas, Nevada, USA",10/29/22,3,35,32,1,0,34,32,12,12,10,34,0,0,0,0,1,0,0,0,0,22,38,2,1,20,37,11,3,6,19,1,0,0,0,0,0,0,0,40,66,1,0,39,66,30,5,4,39,0,0,0,0,0,0,0,0.083333333,36,53,1,0,35,53,20,7,8,35,0,0,0,0,0,0,0,0,47,37,0,0,47,37,27,10,10,43,4,0,0,0,2,0,0,0,30,62,0,0,30,62,18,8,4,26,4,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Hawes,Roman Dolidze,0,KO/TKO,4:09,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head At Distance,Middleweight Bout,UFC Fight Night: Kattar vs. Allen,"Las Vegas, Nevada, USA",10/29/22,1,15,16,4,1,11,15,5,5,1,11,0,0,0,1,0,0,0,0.766666667,0,29,28,11,4,18,24,15,2,1,14,2,2,1,0,0,1,0,0.033333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Arlovski,Marcos Rogerio de Lima,0,Submission,1:50,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke,Heavyweight Bout,UFC Fight Night: Kattar vs. Allen,"Las Vegas, Nevada, USA",10/29/22,1,3,3,1,0,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,25,8,19,3,6,5,3,1,2,5,0,1,1,0,0,1,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Holmes,JunYong Park,0,Submission,3:04,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,Middleweight Bout,UFC Fight Night: Kattar vs. Allen,"Las Vegas, Nevada, USA",10/29/22,2,19,19,1,1,18,18,7,5,6,17,0,1,0,0,0,0,1,0.65,0,22,14,10,2,12,12,8,0,4,12,0,0,0,1,1,0,0,1.916666667,2,2,0,0,2,2,1,0,1,2,0,0,0,0,0,0,0,0,26,14,20,11,6,3,5,0,1,2,0,4,0,1,1,2,0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Hooper,Steve Garcia,0,KO/TKO,1:32,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Featherweight Bout,UFC Fight Night: Kattar vs. Allen,"Las Vegas, Nevada, USA",10/29/22,1,10,22,0,2,10,20,7,2,1,10,0,0,0,0,1,0,0,0,0,31,15,2,0,29,15,19,7,3,26,0,3,3,0,0,0,0,0.283333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Durden,Carlos Mota,1,Decision - Unanimous,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 27 - 30. Tony Weeks 28 - 29. Ben Cartlidge 28 - 29.,Flyweight Bout,UFC Fight Night: Kattar vs. Allen,"Las Vegas, Nevada, USA",10/29/22,3,13,16,4,9,9,7,8,1,0,2,0,7,0,1,0,0,0,4.45,1,6,6,4,4,2,2,1,0,1,1,0,1,0,0,0,0,0,0,23,16,20,8,3,8,2,1,0,0,0,3,0,1,3,0,0,4.416666667,18,7,15,4,3,3,2,1,0,2,0,1,0,0,0,1,0,0,15,12,10,7,5,5,3,1,1,5,0,0,0,2,1,0,0,3.666666667,12,13,5,1,7,12,3,4,0,4,0,3,0,0,0,0,1,0.183333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Rodriguez,Joshua Weems,1,Submission,4:07,3 Rnd (5-5-5),Chris Tognoni,Anaconda Choke From Side Control,Bantamweight Bout,UFC Fight Night: Kattar vs. Allen,"Las Vegas, Nevada, USA",10/29/22,1,15,15,6,1,9,14,8,0,1,8,0,1,0,0,2,1,0,0.933333333,1,22,10,4,2,18,8,9,6,3,12,6,0,0,2,1,0,0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Oliveira,Islam Makhachev,0,Submission,3:16,5 Rnd (5-5-5-5-5),Jason Herzog,Arm Triangle From Side Control,UFC Lightweight Title Bout,UFC 280: Oliveira vs. Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/22/22,2,10,6,4,1,6,5,1,5,0,2,2,2,0,0,0,0,0,0.633333333,0,51,9,39,3,12,6,9,3,0,5,3,4,0,2,0,0,0,3.8,15,15,2,0,13,15,6,7,0,8,5,0,0,0,1,0,0,0.066666667,21,5,3,0,18,5,16,2,0,16,2,0,1,0,1,1,0,1.283333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aljamain Sterling,TJ Dillashaw,1,KO/TKO,3:44,5 Rnd (5-5-5-5-5),Marc Goddard,Punches to Head From Back Control,UFC Bantamweight Title Bout,UFC 280: Oliveira vs. Makhachev,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/22/22,2,80,23,50,8,30,15,24,5,1,8,1,21,0,3,1,1,0,4.333333333,1,8,8,5,0,3,8,0,1,2,3,0,0,0,0,0,0,0,0,68,10,26,4,42,6,32,8,2,9,1,32,0,2,2,1,0,2.766666667,5,10,0,0,5,10,3,1,1,5,0,0,0,0,0,0,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
